dimension,question_text,question_type,mapped_domains,mapped_streams,signal_strength,is_active,education_level,target_stream,sequence_order,option_1_text,option_2_text,option_3_text,option_4_text
interest,"How interested are you in understanding how AI & Machine Learning systems, tools, or ideas actually work?",mcq,SCI_TECH|AI_ML,,4,1,,,1,Not at all,A little,Yes mostly,Yes a lot
interest,"Would building, testing, or exploring a small AI & Machine Learning project feel exciting to you?",mcq,SCI_TECH|AI_ML,,4,1,,,2,Not interested,Slightly curious,Yes interested,Very excited
interest,Can you see yourself spending time learning the basics of AI & Machine Learning even before you are good at it?,mcq,SCI_TECH|AI_ML,,4,1,,,3,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Maths, logic, and patterns show up often in AI. How do you feel about that kind of problem solving?",mcq,SCI_TECH|AI_ML,,4,1,,,4,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"When a topic feels difficult, how willing are you to practice it step by step until it becomes clear?",mcq,SCI_TECH|AI_ML,,4,1,,,5,I usually avoid it,I struggle to continue,I keep practicing,I enjoy the challenge
aptitude,"With regular practice, could you see yourself learning basic programming?",mcq,SCI_TECH|AI_ML,,4,1,,,6,Not confident,A little confident,Confident,Very confident
personality,"When an AI & Machine Learning concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|AI_ML,,4,1,,,7,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your AI & Machine Learning work, what would you most likely do?",mcq,SCI_TECH|AI_ML,,4,1,,,8,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in AI & Machine Learning?,mcq,SCI_TECH|AI_ML,,4,1,,,9,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,AI work often means testing ideas and improving them step by step. Does that suit you?,mcq,SCI_TECH|AI_ML,,4,1,,,10,Not at all,A little,Yes mostly,Yes definitely
work_style,"Which of these is closest to your experience with coding, data, AI tools, robotics, or automation?",mcq,SCI_TECH|AI_ML,,4,1,,,11,Never tried,Only watched videos,Completed a small project,Done multiple projects
work_style,A beginner AI path may start with Python basics or a small project. How realistic does it feel to try that?,mcq,SCI_TECH|AI_ML,,4,1,,,12,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Data Science systems, tools, or ideas actually work?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,13,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Data Science project feel exciting to you?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,14,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Data Science even before you are good at it?,mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,15,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Data science needs maths, logic, charts, and careful thinking. How manageable is that?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,16,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn spreadsheets, Python basics, dashboards, and simple data analysis with practice?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,17,Not confident,A little confident,Confident,Very confident
aptitude,Could you practice turning messy information into a simple chart or insight?,mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,18,Not confident,A little confident,Confident,Very confident
personality,"When a Data Science concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,19,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Data Science work, what would you most likely do?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,20,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Data Science?,mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,21,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Data work can involve cleaning information, checking patterns, and explaining results. Does that suit you?",mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,22,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to data science?,mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,23,Never,Only heard about it,Tried a small data task,Explored seriously
work_style,A first step could be analyzing a small spreadsheet or survey. How realistic does that feel for you?,mcq,SCI_TECH|DATA_SCIENCE,,4,1,,,24,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Web Development systems, tools, or ideas actually work?",mcq,SCI_TECH|WEB_DEV,,4,1,,,25,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Web Development project feel exciting to you?",mcq,SCI_TECH|WEB_DEV,,4,1,,,26,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Web Development even before you are good at it?,mcq,SCI_TECH|WEB_DEV,,4,1,,,27,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Web development needs logic, layout thinking, debugging, and steady practice. How does that feel?",mcq,SCI_TECH|WEB_DEV,,4,1,,,28,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn HTML, CSS, JavaScript, and basic web tools with practice?",mcq,SCI_TECH|WEB_DEV,,4,1,,,29,Not confident,A little confident,Confident,Very confident
aptitude,Could you practice fixing layout issues and small code errors until a page works?,mcq,SCI_TECH|WEB_DEV,,4,1,,,30,Not confident,A little confident,Confident,Very confident
personality,"When a Web Development concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|WEB_DEV,,4,1,,,31,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Web Development work, what would you most likely do?",mcq,SCI_TECH|WEB_DEV,,4,1,,,32,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Web Development?,mcq,SCI_TECH|WEB_DEV,,4,1,,,33,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Web work can involve design details, code errors, user needs, and frequent improvements. Does that suit you?",mcq,SCI_TECH|WEB_DEV,,4,1,,,34,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to web development?,mcq,SCI_TECH|WEB_DEV,,4,1,,,35,Never,Only seen websites,Built a small page,Explored seriously
work_style,A first step could be building one simple personal webpage. How realistic does that feel for you?,mcq,SCI_TECH|WEB_DEV,,4,1,,,36,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Software Development systems, tools, or ideas actually work?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,37,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Software Development project feel exciting to you?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,38,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Software Development even before you are good at it?,mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,39,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Software development needs logic, patience, problem-solving, and structured thinking. How manageable is that?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,40,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn programming basics, debugging, version control, and project building?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,41,Not confident,A little confident,Confident,Very confident
aptitude,Could you keep trying when code fails and you need to debug step by step?,mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,42,Not confident,A little confident,Confident,Very confident
personality,"When a Software Development concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,43,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Software Development work, what would you most likely do?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,44,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Software Development?,mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,45,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Software work often means solving errors, improving features, and working step by step. Does that suit you?",mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,46,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to software development?,mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,47,Never,Only watched content,Completed a small program,Explored seriously
work_style,A first step could be completing one beginner coding project. How realistic does that feel for you?,mcq,SCI_TECH|SOFTWARE_DEV,,4,1,,,48,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Cyber Security systems, tools, or ideas actually work?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,49,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Cyber Security project feel exciting to you?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,50,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Cyber Security even before you are good at it?,mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,51,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Cyber security needs logic, networks, attention to detail, and careful investigation. How does that feel?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,52,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn passwords, networks, basic Linux, security tools, and safe testing methods?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,53,Not confident,A little confident,Confident,Very confident
aptitude,Could you learn security basics carefully without misusing tools or access?,mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,54,Not confident,A little confident,Confident,Very confident
personality,"When a Cyber Security concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,55,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Cyber Security work, what would you most likely do?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,56,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Cyber Security?,mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,57,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Security work can involve alerts, rules, investigation, and careful documentation. Does that suit you?",mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,58,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to cyber security?,mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,59,Never,Only heard about hacking,Tried a safe lab or tool,Explored seriously
work_style,A first step could be learning account safety and basic network concepts. How realistic does that feel for you?,mcq,SCI_TECH|CYBER_SECURITY,,4,1,,,60,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Robotics systems, tools, or ideas actually work?",mcq,SCI_TECH|ROBOTICS,,4,1,,,61,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Robotics project feel exciting to you?",mcq,SCI_TECH|ROBOTICS,,4,1,,,62,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Robotics even before you are good at it?,mcq,SCI_TECH|ROBOTICS,,4,1,,,63,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Robotics needs maths, electronics, coding, and practical troubleshooting. How manageable is that?",mcq,SCI_TECH|ROBOTICS,,4,1,,,64,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn basic circuits, sensors, motors, and simple robot programming?",mcq,SCI_TECH|ROBOTICS,,4,1,,,65,Not confident,A little confident,Confident,Very confident
aptitude,"Could you practice with sensors, motors, or circuits even when the first attempt fails?",mcq,SCI_TECH|ROBOTICS,,4,1,,,66,Not confident,A little confident,Confident,Very confident
personality,"When a Robotics concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|ROBOTICS,,4,1,,,67,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Robotics work, what would you most likely do?",mcq,SCI_TECH|ROBOTICS,,4,1,,,68,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Robotics?,mcq,SCI_TECH|ROBOTICS,,4,1,,,69,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Robotics work can involve hands-on building, failed tests, and improving designs. Does that suit you?",mcq,SCI_TECH|ROBOTICS,,4,1,,,70,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to robotics?,mcq,SCI_TECH|ROBOTICS,,4,1,,,71,Never,Only watched videos,Made a small robot or automation,Explored seriously
work_style,"A first step could be trying a simple sensor, motor, or robot kit. How realistic does that feel for you?",mcq,SCI_TECH|ROBOTICS,,4,1,,,72,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Pure Sciences systems, tools, or ideas actually work?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,73,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Pure Sciences project feel exciting to you?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,74,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Pure Sciences even before you are good at it?,mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,75,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
