level_code,display_name,sequence_order,min_age,max_age,is_active
primary,Primary School,1,6,12,1
secondary,Secondary School (10th),2,13,16,1
higher_secondary,Higher Secondary (12th),3,16,18,1
iti,ITI / Vocational,4,16,25,1
diploma,Diploma,5,16,25,1
graduation,Graduation (Bachelor's),6,18,30,1
post_graduation,Post Graduation (Master's),7,21,35,1
doctorate,Doctorate (PhD),8,24,40,1
professional,Professional Certification,9,18,45,1
working_professional,Working Professional,10,21,60,1
career_switcher,Career Switch / Upskilling,11,22,60,1
