domain_code,degrees,careers,note,how_to_choose_hint,next_step_1,next_step_2,next_step_3
ai_data,B.Tech Computer Science / AI|BSc Data Science|BCA + Data Science PG,Data Scientist|ML Engineer|Data Analyst,Day-to-day: writing code to process data and build models that make predictions.,you enjoy writing code and want to work with data and machine learning,Try one free Python tutorial (freeCodeCamp or CS50P) — if you enjoy it this field will suit you,Check the first-year subjects for B.Tech CS / AI at colleges you're considering,Look at what a data analyst does vs. a machine learning engineer — pick which sounds more interesting
cloud_computing,B.Tech Computer Science|BSc IT|BCA,Cloud Engineer|DevOps Engineer|Solutions Architect,Day-to-day: setting up and managing servers and infrastructure that keep applications running.,you enjoy working on large-scale systems and want to understand how the internet runs behind the scenes,Try the free AWS Cloud Practitioner prep on AWS Skill Builder — takes a few hours and shows you what the field covers,Check the first-year syllabus for B.Tech CS at 2-3 colleges you're considering,Watch one day-in-the-life video of a cloud engineer — not a career advice video an actual day-in-the-life
cybersecurity,B.Tech Computer Science|BSc Cybersecurity|BCA + Security certs,Security Analyst|Ethical Hacker|SOC Analyst,Day-to-day: testing systems for vulnerabilities and responding to security incidents.,you enjoy finding and fixing security weaknesses and want to stay ahead of attackers,Create a free TryHackMe account and complete one beginner room — fastest way to know if this interests you,Check whether B.Tech CS or a dedicated Cybersecurity degree is available at colleges you're targeting,Look up what a SOC analyst and an ethical hacker actually do day-to-day — they're very different roles
devops,B.Tech Computer Science|BSc IT|BCA,DevOps Engineer|Platform Engineer|Site Reliability Engineer,Day-to-day: automating how software gets built tested and deployed to production.,you enjoy the space between writing code and keeping it running reliably in production,Set up a free GitHub account and look at what CI/CD pipelines look like in real open-source projects,Check the first-year subjects for B.Tech CS at colleges you're considering,Look at what a DevOps engineer vs. a Site Reliability Engineer does — different focus same field
fintech,B.Tech CS / Finance|BBA Finance|BSc Economics + coding,Financial Analyst|Fintech Product Manager|Quant Analyst,Day-to-day: building or analysing financial systems — payments risk models or trading platforms.,you enjoy both finance and software and want to work where the two meet,Try Zerodha Varsity (free) to see if financial markets genuinely interest you,Check whether BBA Finance or B.Tech CS with finance electives is available at colleges you're targeting,Look at what a financial analyst vs. a fintech product manager actually does — very different day-to-day
healthtech,MBBS|B.Tech Biomedical|BSc Health Informatics,Health Data Analyst|Clinical Informatics Specialist|Health Product Manager,Day-to-day: building or improving digital tools used in hospitals clinics or health platforms.,you want to work in healthcare and see technology as the way to make the biggest impact,Look at the first-year subjects for B.Tech Biomedical or BSc Health Informatics at colleges you're considering,Talk to someone working in a hospital or health startup about what the tech side of healthcare actually involves,Check whether MBBS or a tech-focused health degree makes more sense for the role you're imagining
biotech,BSc Biotechnology|B.Tech Biotechnology|BSc Microbiology,Biotech Researcher|Clinical Research Associate|Pharma Scientist,Day-to-day: lab work — experiments testing and research with long cycles before results.,you enjoy lab-based science and are comfortable with longer timelines before seeing results,Look at the first-year syllabus for BSc or B.Tech Biotechnology — it's heavier on chemistry and biology than most expect,Check which colleges offer strong biotech programs and what their placement records look like,Talk to someone in a biotech or pharma lab about what the actual work involves day-to-day
robotics,B.Tech Mechanical|B.Tech Mechatronics|B.Tech Electronics,Robotics Engineer|Automation Engineer|Embedded Systems Engineer,Day-to-day: designing and programming machines that move and respond to physical inputs.,you enjoy building physical machines and want to work with both hardware and software together,Watch a few videos of robotics engineers working on real projects — not animations actual lab or factory footage,Check whether B.Tech Mechatronics or Electronics is available at colleges you're targeting,Try a basic Arduino or electronics kit if possible — even a small project will tell you if hands-on work suits you
manufacturing,B.Tech Mechanical|B.Tech Industrial Engineering|Diploma in Manufacturing,Production Engineer|Quality Engineer|Manufacturing Consultant,Day-to-day: overseeing production lines and solving problems in physical manufacturing processes.,you enjoy working with physical systems and want a hands-on engineering career,Look at the first-year subjects for B.Tech Mechanical or Industrial Engineering,Visit a manufacturing facility if possible — seeing the actual work environment matters,Check what Production Engineer and Quality Engineer roles involve day-to-day — different focus areas
digital_marketing,BBA Marketing|BSc Mass Communication|BA Journalism + Digital certs,Digital Marketer|SEO Specialist|Social Media Manager,Day-to-day: running campaigns tracking performance and optimising content to drive traffic or sales.,you enjoy creative work and want to see measurable results from what you produce,Run a small Google or Meta ad campaign with minimal budget — even Rs 200 teaches more than any course,Check whether BBA Marketing or BSc Mass Communication covers digital tools in the first year,Look at actual job postings for digital marketing roles to see what skills companies ask for
