domain_code,domain_name,domain_category,description,is_active
mbbs_medicine,Medicine (MBBS/MD),healthcare,Doctor and physician career path including MBBS and postgraduate specialisations,1
nursing,Nursing,healthcare,Registered nursing patient care and clinical nursing practice,1
pharmacy,Pharmacy,healthcare,Retail and hospital pharmacy drug dispensing and pharmaceutical care,1
physiotherapy,Physiotherapy & Rehab,healthcare,Physical rehabilitation sports injury and musculoskeletal therapy,1
dentistry,Dentistry (BDS/MDS),healthcare,Dental surgery oral health and dental practice,1
ayurveda_homeopathy,Ayurveda & Homeopathy,healthcare,Traditional Indian medicine BAMS BHMS and integrative health,1
healthtech,Healthcare Technology,healthcare,Digital health medical technology and telemedicine,1
med_devices,Medical Devices,healthcare,Medical device engineering and development,1
civil_engineering,Civil Engineering,engineering,Construction infrastructure roads bridges and structural engineering,1
mechanical_engineering,Mechanical Engineering,engineering,Machines manufacturing thermal systems and mechanical design,1
electrical_engineering,Electrical Engineering,engineering,Power systems electrical circuits and electrical infrastructure,1
chemical_engineering,Chemical Engineering,engineering,Chemical processes refining and process plant engineering,1
manufacturing,Manufacturing & Industrial Engg,engineering,Industrial manufacturing and process engineering,1
robotics,Robotics & Automation,engineering,Robotics automation and mechatronics,1
ev_mobility,EV & Mobility,engineering,Electric vehicles and mobility technology,1
renewable_energy,Renewable Energy,engineering,Solar wind and clean energy engineering,1
construction_tech,Construction Technology,engineering,Construction technology and smart buildings,1
ai_data,AI & Data Science,technology,Artificial intelligence machine learning and data science,1
data_engineering,Data Engineering,technology,Building data pipelines and infrastructure,1
cloud_computing,Cloud Computing,technology,Cloud platforms infrastructure and services,1
devops,DevOps & Platform Engg,technology,Development operations CI/CD and platform engineering,1
cybersecurity,Cybersecurity,technology,Information security ethical hacking and defense,1
iot,IoT & Smart Systems,technology,Internet of things and connected devices,1
blockchain,Blockchain & Web3,technology,Blockchain decentralized systems and Web3,1
quantum,Quantum Computing,technology,Quantum computing and quantum information,1
nanotech,Nanotechnology,technology,Nanoscale science and engineering,1
ar_vr,AR/VR & Immersive Tech,technology,Augmented and virtual reality,1
ca_accounting,CA & Accounting,business_finance,Chartered accountancy cost accounting and audit,1
banking_finance,Banking & Finance,business_finance,Traditional banking financial services and investment banking,1
fintech,Finance & FinTech,business_finance,Financial technology digital payments and investment platforms,1
insurance_tech,Insurance & Risk,business_finance,Insurance technology and risk management,1
business_management,Business Management,business_finance,Business administration and management,1
supply_chain,Supply Chain & Operations,business_finance,Supply chain management and operations,1
entrepreneurship,Entrepreneurship,business_finance,Startups business building and venture,1
ecommerce,E-Commerce,business_finance,Online retail and e-commerce platforms,1
upsc_civil_services,UPSC & Civil Services (IAS/IPS),government,Union Public Service Commission and Indian Administrative Service,1
state_govt_services,State Government Services,government,State PSC exams and state administrative services,1
