cybersecurity,Cybersecurity,0
digital_marketing,Digital Marketing,0
healthtech,HealthTech,1
iot,IoT & Smart Systems,0
med_devices,Medical Devices,0
mental_health,Mental Health & Wellness,0
pharma,Pharmaceuticals,0

dimension,question_text,mapped_domains,signal_strength,is_active,option_1,option_2,option_3,option_4,option_5
interest,"In the last 30 days, how often did you choose to learn or read about Cybersecurity even when it wasn't required?",cybersecurity,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on Cybersecurity-related tasks, how often do you break down a messy problem into clear steps and finish it?",cybersecurity,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to Cybersecurity, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",cybersecurity,1,1,Never,Rarely,Sometimes,Often,Very often
interest,"In the last 30 days, how often did you choose to learn or read about Digital Marketing even when it wasn't required?",digital_marketing,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on Digital Marketing-related tasks, how often do you break down a messy problem into clear steps and finish it?",digital_marketing,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to Digital Marketing, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",digital_marketing,1,1,Never,Rarely,Sometimes,Often,Very often
interest,"In the last 30 days, how often did you choose to learn or read about HealthTech even when it wasn't required?",healthtech,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on HealthTech-related tasks, how often do you break down a messy problem into clear steps and finish it?",healthtech,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to HealthTech, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",healthtech,1,1,Never,Rarely,Sometimes,Often,Very often
interest,"In the last 30 days, how often did you choose to learn or read about IoT & Smart Systems even when it wasn't required?",iot,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on IoT & Smart Systems-related tasks, how often do you break down a messy problem into clear steps and finish it?",iot,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to IoT & Smart Systems, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",iot,1,1,Never,Rarely,Sometimes,Often,Very often
interest,"In the last 30 days, how often did you choose to learn or read about Medical Devices even when it wasn't required?",med_devices,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on Medical Devices-related tasks, how often do you break down a messy problem into clear steps and finish it?",med_devices,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to Medical Devices, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",med_devices,1,1,Never,Rarely,Sometimes,Often,Very often
interest,"In the last 30 days, how often did you choose to learn or read about Mental Health & Wellness even when it wasn't required?",mental_health,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on Mental Health & Wellness-related tasks, how often do you break down a messy problem into clear steps and finish it?",mental_health,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to Mental Health & Wellness, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",mental_health,1,1,Never,Rarely,Sometimes,Often,Very often
interest,"In the last 30 days, how often did you choose to learn or read about Pharmaceuticals even when it wasn't required?",pharma,2,1,Never,Rarely,Sometimes,Often,Very often
aptitude,"When working on Pharmaceuticals-related tasks, how often do you break down a messy problem into clear steps and finish it?",pharma,2,1,Never,Rarely,Sometimes,Often,Very often
work_style,"In group activities related to Pharmaceuticals, how often do you take ownership to coordinate people, tools, or timelines to complete the work?",pharma,1,1,Never,Rarely,Sometimes,Often,Very often
