skill_code,skill_name,skill_type,description,is_active
python,Python Programming,technical,Core programming language for AI backend and automation,1
java,Java Programming,technical,Enterprise level backend programming language,1
sql,SQL,technical,Database querying and data management,1
machine_learning,Machine Learning,technical,Building predictive models using algorithms,1
deep_learning,Deep Learning,technical,Neural networks and advanced AI models,1
data_analysis,Data Analysis,analytical,Analyzing and interpreting datasets,1
statistics,Statistics,analytical,Mathematical foundation for data science,1
excel,Advanced Excel,analytical,Data handling and reporting using Excel,1
financial_analysis,Financial Analysis,analytical,Understanding financial statements and markets,1
risk_management,Risk Management,analytical,Identifying and managing financial risks,1
networking,Networking,technical,Computer networks and infrastructure,1
ethical_hacking,Ethical Hacking,technical,Security testing and vulnerability assessment,1
cryptography,Cryptography,technical,Data encryption and security protocols,1
biology,Biology,analytical,Study of living organisms and systems,1
medical_knowledge,Medical Knowledge,analytical,Understanding of healthcare and diagnostics,1
seo,SEO,technical,Search engine optimization strategies,1
social_media,Social Media Marketing,creative,Marketing through social platforms,1
content_writing,Content Writing,creative,Creating engaging written content,1
communication,Communication Skills,soft,Effective verbal and written communication,1
uiux,UI UX Design,creative,Designing user interfaces and experiences,1
graphic_design,Graphic Design,creative,Visual content creation and branding,1
creativity,Creativity,soft,Innovative thinking and idea generation,1
figma,Figma Tools,technical,UI design tool for prototyping,1
mechanics,Mechanical Systems,technical,Mechanical engineering fundamentals,1
electronics,Electronics,technical,Circuit design and electronic systems,1
programming,Programming Fundamentals,technical,Basic programming logic and coding skills,1
aws,AWS Cloud,technical,Cloud infrastructure using AWS,1
devops,DevOps,technical,CI CD pipelines and deployment automation,1
product_management,Product Management,analytical,Managing product lifecycle and strategy,1
agriculture_basics,Agriculture Knowledge,analytical,Farming and agri systems understanding,1
video_editing,Video Editing,creative,Editing video content for media,1
storytelling,Storytelling,creative,Narrative building and communication,1
problem_solving,Problem Solving,analytical,Logical thinking and solution design,1
leadership,Leadership,soft,Managing teams and decision making,1
time_management,Time Management,soft,Efficient planning and execution,1
clinical_skills,Clinical Skills,technical,Patient examination diagnosis and treatment procedures,1
patient_care,Patient Care,soft,Providing compassionate and effective care to patients,1
anatomy,Anatomy & Physiology,technical,Knowledge of human body structure and function,1
legal_research,Legal Research,technical,Researching case law statutes and legal precedents,1
contract_drafting,Contract Drafting,technical,Writing and reviewing legal contracts and agreements,1
accounting,Accounting,technical,Recording and managing financial transactions,1
taxation,Taxation,technical,Knowledge of tax laws and filing procedures,1
civil_design,Civil Design & Drafting,technical,Designing infrastructure using AutoCAD and structural tools,1
mechanical_design,Mechanical Design,technical,Designing mechanical components using CAD tools,1
electrical_design,Electrical Design,technical,Designing electrical systems and circuits,1
process_engineering,Process Engineering,technical,Designing and optimising industrial chemical processes,1
teaching,Teaching & Instruction,soft,Delivering curriculum and mentoring students effectively,1
public_administration,Public Administration,soft,Managing government operations and public policy,1
farming_techniques,Farming Techniques,technical,Crop cultivation irrigation and soil management,1
veterinary_skills,Veterinary Skills,technical,Animal diagnosis treatment and surgical procedures,1
food_science,Food Science,technical,Food processing safety testing and product development,1
architectural_design,Architectural Design,technical,Building design drafting and spatial planning,1
fashion_illustration,Fashion Illustration,technical,Sketching and designing garments and accessories,1
journalism,Journalism & Reporting,technical,Researching writing and publishing news stories,1
counselling_skills,Counselling Skills,soft,Providing therapeutic support and mental health guidance,1
sports_training,Sports Training,technical,Designing and delivering athletic training programmes,1
electrical_wiring,Electrical Wiring,technical,Installing and maintaining electrical wiring and panels,1
plumbing,Plumbing,technical,Installing and repairing water supply and drainage systems,1
hardware_support,Hardware Support,technical,Diagnosing and repairing computer hardware and networks,1
beauty_therapy,Beauty Therapy,technical,Hair skin nail and wellness treatment techniques,1
hotel_operations,Hotel Operations,technical,Managing front office housekeeping and F&B operations,1
urban_planning,Urban Planning,technical,Designing city infrastructure and land use systems,1
sustainability,Sustainability,technical,Carbon accounting environmental compliance and ESG reporting,1
defense_systems,Defense Systems,technical,Knowledge of military systems weapons and defense technology,1
performing_arts_skills,Performing Arts,technical,Music dance theatre and stage performance skills,1
scientific_research,Scientific Research,technical,Designing experiments analysing data and publishing findings,1
